emp_no,first_name,last_name,dept_name
10018,Kazuhide,Peha,Production
10035,Alain,Chappelet,Production
10053,Sanjiv,Zschoche,Sales
10224,Leon,Trogemann,Production
10282,Hercules,Benzmuller,Production
10302,Faiza,Baer,Sales
10363,Toshiki,Muniz,Production
10364,Nakhoon,Dengi,Production
10372,Anneli,Frijda,Production
10451,Bodh,Ranta,Production
10494,Yakkov,Servieres,Production
10538,Przemyslawa,Falby,Production
10548,Ramalingam,Gunderson,Sales
10564,Jianhao,Thisen,Production
10575,Theirry,Yeung,Production
10608,Adhemar,Talmor,Production
10672,Bluma,Zeilberger,Production
10745,Poorav,Ranze,Production
10749,King,Brendel,Production
10777,Mizuhito,Kemmerer,Production
10795,Supot,Naudin,Sales
10835,Tomoyuki,Kermarrec,Production
10848,Fen,Bratsberg,Production
10867,Billur,Gyorkos,Production
10895,Vishwani,Petersohn,Sales
11009,Alper,Axelband,Sales
11027,Remzi,Cappello,Production
11028,Miyeon,Krider,Production
11048,Jaques,Demke,Sales
11051,Przemyslawa,Erol,Production
11085,Hailing,Thummel,Production
11110,Valeska,Birjandi,Production
11204,Diederik,Covnot,Production
11211,Yurij,Rissland,Production
11217,Kellie,Mawatari,Production
11268,Aimee,Petersohn,Production
11365,Toshimi,Shinomoto,Production
11393,Junsik,Junot,Production
11415,Sanjiv,Anido,Production
11421,Josyula,Msuda,Production
11449,Kotesh,Asser,Production
11469,Guttorm,Giaccio,Production
11515,Ulf,Basawa,Sales
11528,Zito,Dolinsky,Production
11537,DAIDA,Pehl,Sales
11567,Teiji,Mitzlaff,Sales
11615,Shem,Isaak,Sales
11624,Adil,Gammage,Production
11673,Henk,Felder,Production
11738,Tadahiro,Lichtman,Production
11746,Koichi,Marrakchi,Sales
11747,Aksel,Kossowski,Sales
11764,Sanjay,Anick,Production
11817,Niranjan,Markovitch,Sales
11838,Taiji,Nitta,Sales
11857,Divier,Farrag,Sales
11897,Cordelia,Setlzner,Sales
11915,Miomir,Mawatari,Production
11949,Martijn,Harbusch,Production
11987,Vidya,Schaar,Production
12076,Karlis,Siprelle,Sales
12122,Satoru,Krone,Production
12125,Shounak,Erman,Production
12128,Yannik,Barreiro,Sales
12149,Suebskul,Grandbois,Sales
12223,Niteen,Koyama,Production
12254,Chaitali,Stafford,Production
12312,Chenye,Velasco,Production
12365,Kamakshi,Bisiani,Production
12399,Mihalis,Luga,Sales
12411,Shao,Ibel,Sales
12417,Dannz,Spelt,Production
12464,Shai,Milicic,Sales
12478,Yahiko,Hopewell,Sales
12497,Stein,Penz,Sales
12504,Adly,Rosaz,Production
12534,Yongmao,Gerlach,Production
12551,Jeane,Tzvieli,Production
12635,Xinyu,Restivo,Production
12651,Pragnesh,Bael,Sales
